# r [cm], rho [g/cm**3]
1.496000000000000000e+13 4.822345365302271622e-14
1.641858153177611914e+13 4.192207119151594515e-14
1.801937296227138281e+13 3.644239881602145980e-14
1.977623958105179297e+13 3.167736615938690179e-14
2.170439852629925781e+13 2.753385082755047937e-14
2.382055058838274219e+13 2.393086157419922318e-14
2.614302486411494922e+13 2.079795812254452644e-14
2.869193751462043359e+13 1.807387681048184879e-14
3.148936600189982422e+13 1.570533525022800505e-14
3.455954031324407031e+13 1.364599268542063030e-14
3.792905282979287500e+13 1.185554576573327215e-14
4.162708865701858594e+13 1.029894210054562401e-14
4.568567841214789062e+13 8.945696250639298478e-15
5.013997565804508594e+13 7.769294815076586951e-15
5.502856138655636719e+13 6.746679008341374577e-15
6.039377818860445312e+13 5.857794634376939542e-15
6.628209700545486719e+13 5.085200678830166366e-15
7.274451963777770312e+13 4.413728884249163215e-15
7.983702049884639062e+13 3.830187667486164217e-15
8.762103143812773438e+13 3.323104603528947429e-15
9.616397383457345312e+13 2.882502452293752861e-15
1.055398425683509062e+14 2.499704359236110463e-15
1.158298469290966250e+14 2.167164429736270278e-15
1.271231140119332031e+14 1.878320372194191022e-15
1.395174606937296875e+14 1.627465335280195553e-15
1.531202408760943125e+14 1.409636439229227493e-15
1.680492753335129375e+14 1.220517826742408119e-15
1.844338722205331562e+14 1.056356342321644998e-15
2.024159470771392188e+14 9.138881952358071650e-16
2.221512520332679688e+14 7.902751756050680248e-16
2.438107248592483750e+14 6.830491794717358195e-16
2.675819695469923125e+14 5.900639608348118010e-16
2.936708812460246250e+14 5.094531696211949555e-16
3.223034296287699375e+14 4.395938571962799288e-16
3.537276161317530625e+14 3.790747376693179982e-16
3.882156220254006875e+14 3.266685860012846790e-16
4.260661659179960000e+14 2.813082345808456624e-16
4.676070911133602500e+14 2.420657000676239594e-16
5.131982052327119375e+14 2.081340332770711625e-16
5.632343966961533750e+14 1.788115378862141309e-16
6.181490550572547500e+14 1.534880498090711435e-16
6.784178248160362500e+14 1.316330091262070575e-16
7.445627252240838750e+14 1.127850912411991728e-16
8.171566717655776250e+14 9.654319416452600993e-17
8.968284384771360000e+14 8.255860509293608209e-17
9.842681040877221250e+14 7.052819228485527361e-17
1.080233029150466000e+15 6.018848808916557322e-17
1.185554415937461000e+15 5.131054626693943434e-17
1.301144507916204000e+15 4.369547180298824248e-17
1.428004491166104000e+15 3.717053453955435519e-17
1.567233166173339000e+15 3.158578943954724846e-17
1.720036465115014250e+15 2.681113632511753887e-17
1.887737897066767500e+15 2.273376072906523571e-17
2.071790011605234250e+15 1.925590520173767805e-17
2.273786980097590000e+15 1.629292716904201559e-17
2.495478403651288500e+15 1.377160535060141836e-17
2.738784467321873000e+15 1.162866191590624619e-17
3.005812571837312000e+15 9.809472061718859319e-18
3.298875586894956000e+15 8.266936606782092023e-18
3.620511884132397500e+15 6.960496583337259974e-18
3.973507323288243500e+15 5.855271716981817243e-18
4.360919381986467500e+15 4.921307180948213218e-18
4.786103638144887000e+15 4.132915138723037703e-18
5.252742834385841000e+15 3.468099397811989398e-18
5.764878776190955000e+15 2.908053031993435552e-18
6.326947340086690000e+15 2.436720130653750990e-18
6.943816895084722000e+15 2.040413938887021982e-18
7.620830470165305000e+15 1.707484593831592913e-18
8.363852033038294000e+15 1.428030469652851241e-18
9.179317281026110000e+15 1.193647839728803340e-18
1.007428938399523800e+16 9.972141698534610847e-19
1.105652016215457200e+16 8.327008867524678342e-19
1.213451722861372200e+16 6.950119346911536727e-19
1.331761767825778600e+16 5.798448494315446658e-19
1.461606896119641600e+16 4.835714509646186774e-19
1.604111764127445200e+16 4.031355902218686180e-19
1.760510680842758600e+16 3.359656849144122105e-19
1.932158298862266800e+16 2.799000493258050771e-19
2.120541347738502000e+16 2.331232651642167985e-19
2.327291511319986800e+16 1.941120578508232432e-19
2.554199560616155200e+16 1.615893369584228389e-19
2.803230864599136000e+16 1.344852327857014222e-19
3.076542413289586000e+16 1.119041149913562661e-19
3.376501500572346400e+16 9.309671545718369430e-20
3.705706228563600000e+16 7.743659766446391866e-20
4.067008011128482400e+16 6.440032035005042934e-20
4.463536271463876800e+16 5.355073548465821600e-20
4.898725547665086400e+16 4.452294103878910019e-20
5.376345241051725600e+16 3.701247884367354892e-20
5.900532264918739200e+16 3.076542830143539897e-20
6.475826876500260000e+16 2.557009884616649798e-20
7.107212002505786400e+16 2.125006890935077516e-20
7.800156398847536000e+16 1.765835761084030345e-20
8.560662018387929600e+16 1.467254830211565319e-20
9.395315996984052800e+16 1.219071116724365356e-20
1.031134770810715520e+17 1.012799599246086085e-20
1.131669138021725120e+17 8.413786525187629234e-21
1.242005481925434880e+17 6.989325064920881249e-21
1.363099483148772320e+17 5.805730505373408850e-21
1.496000000000000000e+17 4.822345365302271999e-21
